0,SansText,our reports showed                    a massive anomaly                         in the timespace                        continuum.,,,,,,,
0,SansText,timelines jumping                      left and right                          stopping and                          starting...,,,,,
0,CombatZoneResize,133,251,508,391,TLResume,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0.2,BoneV,503,286,100,2,250,1,,,
0.7,BoneV,503,366,20,2,120,0
0.5,BoneV,503,286,100,2,120,1
0.7,BoneV,503,366,20,2,120,0
0.5,BoneV,503,286,100,2,120,1
0.7,BoneV,503,366,20,2,120,0
0.93333,BoneV,128,286,100.0,120,1
0.4,BoneV,128,286,100,0,120,1
0.7,BoneV,128,366,20,0,120,0
0.4,BoneV,128,286,100,0,120,1
0.7,BoneV,128,366,20,0,120,0
6.0,EndAttack,,,,,,
